domain,entity,entity_qid,property,prop_type,dbpedia,wikidata,conflict_type,correct_source,reasoning,human_conflict_type,human_correct_source,human_notes
scientist,Boris Maciejovsky,Q107564546,birth_place,entity,Austria,Vienna,granularity,both_valid,"Vienna is a city located within Austria. Both values are factually correct, but Wikidata provides a more specific level of detail for the birth_place.",,,
scientist,Baruch Schieber,Q107504348,employer,entity,Thomas J. Watson Research Center,IBM,granularity,both_valid,"The Thomas J. Watson Research Center is a research facility operated by IBM. Therefore, 'IBM' is the broader employer, and 'Thomas J. Watson Research Center' is a more specific division or location within that employer. Both values are correct at different levels of specificity.",,,
scientist,Ada-Rhodes Short,Q107618927,alma_mater,entity,Oregon State University,Fort Collins High School,temporal,both_valid,"Ada-Rhodes Short attended Fort Collins High School before attending Oregon State University. Both are valid educational institutions she attended at different points in time, making both correct for the 'alma_mater' property.",,,
scientist,Dipen J Parekh,Q69927535,birth_place,entity,India,Mumbai,granularity,both_valid,"Mumbai is a city located within India. Both values are correct, but Wikidata provides a more specific location for the birth_place.",,,
scientist,Patrick Druckenmiller,Q53996903,employer,entity,University of Alaska Museum of the North,University of Alaska Fairbanks,granularity,both_valid,"The University of Alaska Museum of the North is a museum located on the campus of and administered by the University of Alaska Fairbanks. Therefore, both values are correct, with DBpedia providing a more specific employer within the broader institution given by Wikidata.",,,
scientist,Mabel K. Staupers,Q6721463,death_date,date,1989-09-30,1989-11-29T00:00:00Z,factual,wikidata,"The death dates are different (September 30 vs November 29). External sources confirm Mabel K. Staupers died on November 29, 1989, making the DBpedia value factually incorrect.",,,
scientist,William W. Happ,Q107688796,birth_place,entity,Poland,Inowrocław,granularity,both_valid,Inowrocław is a city located within Poland. Both values are correct but represent different levels of geographical specificity (city vs. country).,,,
scientist,William W. Happ,Q107688796,alma_mater,entity,Massachusetts Institute of Technology,McGill University,factual,dbpedia,William W. Happ received his B.S. degree from the Massachusetts Institute of Technology. There is no readily available evidence to suggest he attended McGill University.,,,
scientist,R. Nelson Smith,Q107674489,alma_mater,entity,Stanford University,Pomona College,factual,unclear,"R. Nelson Smith attended both Stanford University (for his Ph.D.) and Pomona College (for his undergraduate degree). Without further context on what 'alma_mater' is intended to represent (undergraduate, graduate, or all), it's unclear which is 'more' correct, or if both should be listed. However, as presented, they are distinct institutions, making it a factual disagreement if only one is expected.",,,
scientist,Richard James Boys,Q107419963,birth_place,entity,United Kingdom,Leeds,granularity,both_valid,"Leeds is a city located within the United Kingdom. Both values are factually correct, but Wikidata provides a more specific level of detail for the birth_place.",,,
scientist,Adolf Eugen Fick,Q76691,employer,entity,University of Würzburg,University of Zurich,temporal,both_valid,"Adolf Eugen Fick was a professor at the University of Zurich from 1855 to 1868, and then at the University of Würzburg from 1868 to 1899. Both values are correct but refer to different periods of his employment.",,,
scientist,Ahmed Zewail,Q106624,birth_place,entity,Kingdom of Egypt,Damanhur,granularity,both_valid,Damanhur is a city located within the Kingdom of Egypt. Both values are factually correct but represent different levels of geographical specificity for the birth_place property.,,,
scientist,Alfred Landé,Q77920,birth_place,entity,German Empire,Elberfeld,granularity,both_valid,"Alfred Landé was born in Elberfeld, which was a city located within the German Empire at the time of his birth (1888). Both values are correct but at different levels of geographical specificity (city vs. country).",,,
scientist,Anders Celsius,Q81130,birth_date,date,1701-11-27,1701-12-08T00:00:00Z,factual,unclear,"The values represent different dates (November 27 vs December 8). This is a factual disagreement, and without external verification, it's unclear which is correct. The 'T00:00:00Z' in Wikidata is a format detail, but the core conflict is the date itself.",,,
scientist,Arnold Schönhage,Q78106,birth_place,entity,Germany,Lockhausen,granularity,wikidata,"Arnold Schönhage was born in Lockhausen, which is a locality within Germany. Wikidata provides the more specific location (Lockhausen), while DBpedia provides the broader country (Germany). Both are technically correct, but Wikidata is more granular and precise.",,,
scientist,Arthur Eichengrün,Q76618,alma_mater,entity,RWTH Aachen University,University of Erlangen–Nuremberg,factual,wikidata,Arthur Eichengrün studied at the University of Erlangen–Nuremberg. RWTH Aachen University is incorrect.,,,
scientist,Anton Ausserer,Q78629,birth_place,entity,Austria,Bolzano,granularity,both_valid,"Anton Ausserer was born in Bolzano (Bozen) in 1843, which was part of the Austrian Empire at the time. Bolzano is a city, and Austria refers to the country/empire. Both values are correct, but Wikidata provides a more specific location.",,,
scientist,Basil Schonland,Q810043,birth_place,entity,Cape Colony,Makhanda,granularity,both_valid,"Basil Schonland was born in Grahamstown (now Makhanda) in 1886. At that time, Grahamstown was a city located within the Cape Colony. Both values are correct but represent different levels of geographical specificity (city vs. historical administrative region).",,,
scientist,Basil Schonland,Q810043,employer,entity,Atomic Energy Research Establishment,University of Cape Town,temporal,both_valid,Basil Schonland was a professor at the University of Cape Town from 1922-1936 and later served as Director of the Atomic Energy Research Establishment from 1954-1958. Both values are correct but refer to different periods of his career.,,,
scientist,Bernd Sturmfels,Q73000,employer,entity,Research Institute for Symbolic Computation,"University of California, Berkeley",temporal,both_valid,"Bernd Sturmfels was a professor at the Research Institute for Symbolic Computation (RISC) from 1995-1997. He has been a professor at the University of California, Berkeley since 1997. Both values are correct for different periods of his career.",,,
scientist,Brebis Bleaney,Q3460851,birth_place,entity,King's Road,London,granularity,both_valid,King's Road is a street/area located within London. Both values are correct but represent different levels of geographical specificity (street vs. city).,,,
scientist,Carl Duisberg,Q72175,birth_place,entity,Kingdom of Prussia,Barmen,granularity,both_valid,"Carl Duisberg was born in Barmen, which at the time was a city located within the Kingdom of Prussia. Both values are factually correct but represent different levels of geographical specificity (city vs. historical state).",,,
scientist,Carl Duisberg,Q72175,alma_mater,entity,University of Jena,University of Göttingen,temporal,both_valid,"Carl Duisberg studied at both the University of Göttingen and the University of Jena during his education. Both values are factually correct, representing different periods or institutions he attended.",,,
scientist,Carl Johannes Thomae,Q87523,employer,entity,University of Jena,University of Freiburg,temporal,both_valid,"Carl Johannes Thomae was a professor at the University of Jena from 1872 to 1879, and subsequently at the University of Freiburg from 1879 to 1914. Both values are correct but refer to different periods of his career.",,,
scientist,Carl R. de Boor,Q73006,birth_place,entity,Nazi era,Słupsk,factual,wikidata,"The property is 'birth_place'. 'Nazi era' is a historical period, not a geographical location, making it an incorrect value for a birth place. 'Słupsk' is a city and a valid birth place.",,,
scientist,Carl Ernst Bock,Q75044,birth_place,entity,Saxony,Leipzig,granularity,both_valid,"Leipzig is a city located within Saxony. Both values are factually correct, but Wikidata provides a more specific (granular) location for the birth_place.",,,
scientist,Carl von Voit,Q76146,alma_mater,entity,Ludwig Maximilian University of Munich,Ludwig-Maximilians-Universität München,synonym,both_valid,The values are different language names (English vs. German) for the exact same university.,,,
scientist,Cathleen Synge Morawetz,Q450331,employer,entity,New York University,"Courant Institute School of Mathematics, Computing, and Data Science",granularity,both_valid,"The Courant Institute of Mathematical Sciences (which the Wikidata value refers to) is a division of New York University. Both values are correct, with Wikidata providing a more specific affiliation within the university.",,,
scientist,Charles F. Stevens,Q5077557,birth_date,date,1934-09-02,1934-09-01T00:00:00Z,factual,wikidata,"The values disagree on the specific day of birth (September 1st vs September 2nd). External sources, including Wikipedia, confirm Charles F. Stevens was born on September 1st, 1934.",,,
scientist,Charles Loewner,Q215964,alma_mater,entity,Charles University,philosophy faculty of the German university of Prague,granularity,both_valid,"Wikidata specifies a particular faculty within the historical 'German university of Prague', which was a part or iteration of Charles University. DBpedia provides the broader institution name, 'Charles University'. Both are correct, but Wikidata is more specific.",,,
scientist,Christian Rudolph Wilhelm Wiedemann,Q78434,alma_mater,entity,University of Jena,Friedrich Schiller University Jena,synonym,both_valid,"The University of Jena was renamed Friedrich Schiller University Jena in 1934. Both refer to the same institution, with Wikidata using the current name and DBpedia using a historical name that was valid during Wiedemann's time.",,,
scientist,Dimitrie Pompeiu,Q1225951,birth_date,date,1873-10-22,1873-09-22T00:00:00Z,factual,dbpedia,"The values differ in the month (October vs September). External sources (e.g., Wikipedia, MacTutor) confirm the birth date as October 22, 1873, making DBpedia's value correct.",,,
scientist,Claus Roxin,Q71157,employer,entity,Ludwig Maximilian University of Munich,Ludwig-Maximilians-Universität München,synonym,both_valid,"Both values refer to the same university; 'Ludwig Maximilian University of Munich' is the English name, and 'Ludwig-Maximilians-Universität München' is the German name.",,,
